procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 485712 5800684 29517552 175803184    0    0     0   533 4403 5248  1  0 99  0  0	
 3  0 485712 5802460 29517552 175803296    0    0     0   518 5937 8384  1  0 99  0  0	
 1  0 485712 5807304 29517552 175803312    0    0     0   205 8484 13215  2  0 98  0  0	
 1  0 485712 5807508 29517552 175803392    0    0     0   477 4392 5552  0  0 99  0  0	
 0  0 485712 5884652 29517552 175803456    0    0     0   400 11132 17500  2  0 97  0  0	
 1  0 485712 5889012 29517552 175803616    0    0     0   392 3695 4749  0  0 100  0  0	
 1  0 485712 5879188 29517552 175803664    0    0     4   696 5927 7637  3  0 97  0  0	
 1  0 485712 5887024 29517552 175803680    0    0     0   412 8839 13604  2  0 98  0  0	
 4  0 485712 5876376 29517552 175803744    0    0     0   355 4301 5035  1  0 99  0  0	
 1  0 485712 5876028 29517552 175803808    0    0     0   358 10879 17466  2  0 97  0  0	
 2  0 485712 5796432 29517552 175803968    0    0     0   502 3973 4822  1  1 99  0  0	
 1  0 485712 5796748 29517552 175804048    0    0    16   236 5752 8335  1  0 99  0  0	
 0  0 485712 5797564 29517552 175804064    0    0     0   246 8244 11208  4  0 96  0  0	
 3  0 485712 5796960 29517552 175804128    0    0     0  1294 3877 5024  0  0 100  0  0	
 1  0 485712 5797876 29517552 175804192    0    0     0   261 11428 17482  2  0 97  0  0	
 1  0 485712 5796656 29517552 175804336    0    0     0   370 3716 4526  0  0 100  0  0	
 0  0 485712 5795948 29517552 175804384    0    0     0   374 6068 8496  1  0 99  0  0	
 1  0 485712 5795016 29517552 175804400    0    0     0   215 8000 12250  2  0 98  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 485712 5795380 29517552 175804464    0    0     0  1026 3907 4993  0  0 100  0  0	
 0  0 485712 5798632 29517552 175804544    0    0     0   488 11114 17002  4  0 95  1  0	
 1  0 485712 5744648 29517552 175804576    0    0     0   410 4532 5121  1  0 99  0  0	
 1  0 485712 5740384 29517552 175804784    0    0     4   340 6151 8619  1  0 99  0  0	
 1  0 485712 5741728 29517552 175804800    0    0     0   406 8247 12766  2  0 98  0  0	
 0  0 485712 5740728 29517552 175804864    0    0     0   828 4140 5333  0  0 99  0  0	
 1  0 485712 5728292 29517552 175804928    0    0     0   278 10450 15585  4  0 95  0  0	
 1  0 485712 5729884 29517552 175804960    0    0     0   402 3757 4883  0  0 100  0  0	
 0  0 485712 5727732 29517552 175805184    0    0     0   370 6356 9357  1  0 99  0  0	
 1  0 485712 5730576 29517552 175805216    0    0     0   244 8465 13014  2  0 98  0  0	
 2  0 485712 5723540 29517552 175805280    0    0     4   646 4341 5223  1  0 99  0  0	
 1  0 485712 5717452 29517552 175805376    0    0     0   338 11907 18069  3  0 97  0  0	
 1  0 485712 5713228 29517552 175805536    0    0     0   480 4455 5240  0  0 99  0  0	
 2  0 485712 5711884 29517552 175805648    0    0     0   384 6178 8583  1  0 99  0  0	
 1  0 485712 5709712 29517552 175805664    0    0     4   232 8333 11127  4  0 95  0  0	
 1  0 485712 5703288 29517552 175805728    0    0     0   722 4759 5519  1  0 99  0  0	
 1  0 485712 5885280 29517552 175805792    0    0     0   314 11104 16851  2  1 97  0  0	
 0  0 485712 5890884 29517552 175805952    0    0     0   243 4139 4772  0  0 99  0  0	
 0  0 485712 5892120 29517552 175806000    0    0     0   308 5495 8137  1  0 99  0  0	
 1  0 485712 5890272 29517552 175806128    0    0     0   368 8738 11517  4  0 96  0  0	
 2  0 485712 5887408 29517552 175806160    0    0     0  1049 4032 5108  1  0 99  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 485712 5886348 29517552 175806240    0    0     4   364 10582 16518  2  0 97  0  0	
 1  0 485712 5887948 29517552 175806400    0    0     0   528 3599 4310  0  0 100  0  0	
 1  0 485712 5868788 29517552 175806448    0    0     0   268 5893 8199  1  0 99  0  0	
 1  0 485712 5853112 29517552 175806464    0    0     0   402 8579 12742  2  0 98  0  0	
 1  0 485712 5854268 29517552 175806528    0    0     0  1107 3865 5240  0  0 100  0  0	
 1  0 485712 5853632 29517552 175806608    0    0     0   244 11124 15935  4  0 95  0  0	
 0  0 485712 5854912 29517552 175806752    0    0     0   280 3329 4304  0  0 100  0  0	
 1  0 485712 5852812 29517552 175806800    0    0     0   306 6153 8601  1  0 99  0  0	
 1  0 485712 5841412 29517552 175806816    0    0     0   127 7766 12093  2  0 98  0  0	
 0  0 485712 5836508 29517552 175806896    0    0     4   848 4078 5247  0  0 99  0  0	
 1  0 485712 5902176 29517552 175806960    0    0     0   470 10919 16789  3  0 97  0  0	
 1  0 485712 5905888 29517552 175807104    0    0     0   265 3731 4526  0  0 100  0  0	
26  0 485712 5865452 29517552 175807184    0    0     0   390 4104 5027  1  0 99  0  0	
 1  0 485712 5889152 29517552 175807216    0    0     0   508 9969 13706  4  1 96  0  0	
 0  0 485712 5890732 29517552 175807264    0    0     0   292 3617 4795  0  0 100  0  0	
 1  0 485712 5818120 29517552 175807344    0    0     8   266 10691 16631  3  1 97  0  0	
 1  0 485712 5819892 29517552 175807392    0    0     0   400 3564 4696  0  0 100  0  0	
 1  0 485712 5820776 29517552 175807600    0    0     0   831 6257 9106  1  0 99  0  0	
 1  0 485712 5830428 29517552 175807632    0    0     0   334 8980 12637  4  0 96  0  0	
 1  0 485712 5824944 29517552 175807712    0    0     4   519 5295 6693  1  0 99  0  0	
 1  0 485712 5835400 29517552 175807808    0    0     0   301 12676 19649  3  0 96  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 485712 5850880 29517552 175808000    0    0     0   490 4514 5517  1  0 99  0  0	
 1  0 485712 5850108 29517552 175808208    0    0    48   486 6164 8199  3  0 97  0  0	
 1  0 485712 5851584 29517552 175808256    0    0     0   251 9565 14556  2  0 97  0  0	
 1  0 485712 5852792 29517552 175808320    0    0     0   504 4329 5549  0  0 99  0  0	
 4  0 485712 5926568 29517552 175808400    0    0     0   310 13060 19131  6  1 94  0  0	
 1  0 485712 5913348 29517552 175808576    0    0     0   338 4453 5095  1  0 99  0  0	
 1  0 485712 5915508 29517552 175808640    0    0     0   592 6080 8845  1  0 99  0  0	
