procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0  25456 1584376 157056 2945224    0    0     0    10  426  769  3  3 94  0
 0  0  25456 1584096 157056 2945224    0    0     0     0  382  760  1  1 99  0
 0  0  25456 1584120 157056 2945224    0    0     0    50  380  757  0  0 100  0
 0  0  25456 1583840 157056 2945228    0    0     0     0  334  704  1  0 99  0
 0  0  25456 1583716 157056 2945228    0    0     0     0  309  587  0  0 100  0
 0  0  25456 1583592 157056 2945228    0    0     0    26  550  970  2  0 98  0
 0  0  25456 1583812 157056 2945236    0    0     0     0  363  739  0  0 100  0
 0  0  25456 1583872 157056 2945236    0    0     0    10  418  810  1  0 99  0
 0  0  25456 1583780 157056 2945244    0    0     0    16  383  774  1  0 99  0
 0  0  25456 1583868 157056 2945252    0    0     0     0  475  796  0  0 99  0
 0  0  25456 1583776 157056 2945256    0    0     0     0  369  741  1  0 99  0
 0  0  25456 1583560 157056 2945264    0    0     0    24  501  893  1  0 99  0
 0  0  25456 1583904 157056 2945264    0    0     0     0  335  716  1  0 99  0
 1  0  25456 1583932 157056 2945264    0    0     0     8  360  754  0  0 99  0
 0  0  25456 1582444 157056 2945276    0    0     0     0  435  809  1  1 99  0
 0  0  25456 1582428 157056 2945280    0    0     0     0  340  731  0  0 99  0
 0  0  25456 1582148 157056 2945284    0    0     0    28  559  852  4  3 93  0
 0  0  25456 1582180 157056 2945284    0    0     0     8  372  751  1  0 99  0
 0  0  25456 1582924 157056 2945284    0    0     0     0  308  645  0  0 100  0
 0  0  25456 1583568 157056 2945280    0    0     0    22  391  708  1  0 99  0
 0  0  25456 1583444 157056 2945284    0    0     0     0  424  826  1  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  25456 1583352 157056 2945284    0    0     0     0  343  714  0  0 99  0
 0  0  25456 1583320 157056 2945284    0    0     0    66  423  836  1  0 99  0
 0  0  25456 1583164 157056 2945284    0    0     0     0  317  621  0  0 99  0
 0  0  25456 1583040 157056 2945288    0    0     0     0  435  806  0  0 99  0
 0  0  25456 1582916 157056 2945288    0    0     0    50  334  687  1  0 99  0
 0  0  25456 1583256 157056 2945288    0    0     0     0  347  717  0  0 99  0
